[I 250623 14:08:46 websocket:47] WebSocket opened
[I 250623 14:22:26 websocket:49] WebSocket opened
[I 250623 14:33:21 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13753740, 'exchange_timestamp': 1750669400000, 'last_traded_price': 5606230, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:21 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13754198, 'exchange_timestamp': 1750669401000, 'last_traded_price': 5606010, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:22 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13754491, 'exchange_timestamp': 1750669401000, 'last_traded_price': 5606430, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:22 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13754948, 'exchange_timestamp': 1750669402000, 'last_traded_price': 5606385, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:23 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13755176, 'exchange_timestamp': 1750669402000, 'last_traded_price': 5606445, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:23 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13755514, 'exchange_timestamp': 1750669403000, 'last_traded_price': 5606090, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:24 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13755735, 'exchange_timestamp': 1750669403000, 'last_traded_price': 5607900, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:24 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13756192, 'exchange_timestamp': 1750669404000, 'last_traded_price': 5606980, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:25 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13756417, 'exchange_timestamp': 1750669404000, 'last_traded_price': 5607355, 'subscription_mode_val': 'LTP'}
[I 250623 14:33:25 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13756874, 'exchange_timestamp': 1750669405000, 'last_traded_price': 5606970, 'subscription_mode_val': 'LTP'}
